dataset_index,image_path,true_class,predicted_class,prediction_confidence,true_class_probability,top1_class,top1_probability,top2_class,top2_probability,top3_class,top3_probability
4106,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Corn_(maize)___Northern_Leaf_Blight\e2faa2e3-433a-4ee3-9b64-8de4ad2947e1___RS_NLB 3795.JPG,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.99951171875,0.0003066062927246094,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.99951171875,Corn_(maize)___Northern_Leaf_Blight,0.0003066062927246094,Tomato___Bacterial_spot,6.556510925292969e-07
547,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Tomato___Target_Spot\2761adc9-bf8f-4362-87a6-7619ecf0dbbe___Com.G_TgS_FL 9681.JPG,Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,0.9990234375,0.0011920928955078125,Tomato___Spider_mites Two-spotted_spider_mite,0.9990234375,Tomato___Target_Spot,0.0011920928955078125,Potato___Late_blight,1.3232231140136719e-05
7034,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Corn_(maize)___Northern_Leaf_Blight\17cc72b5-9af2-4988-8b4d-f79a4054e26d___RS_NLB 3968.JPG,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.94287109375,0.057281494140625,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.94287109375,Corn_(maize)___Northern_Leaf_Blight,0.057281494140625,Corn_(maize)___Common_rust_,2.6702880859375e-05
2614,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Cherry_(including_sour)___healthy\088b245d-2b68-4d2b-b7fe-0e9fc42131d3___JR_HL 4132.JPG,Cherry_(including_sour)___healthy,Potato___healthy,0.9287109375,2.384185791015625e-07,Potato___healthy,0.9287109375,Soybean___healthy,0.068603515625,Potato___Late_blight,0.00237274169921875
7106,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\4baea4d9-8343-4550-838f-86dfb7672591___RS_GLSp 4639 copy.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.89013671875,0.10968017578125,Corn_(maize)___Northern_Leaf_Blight,0.89013671875,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.10968017578125,Corn_(maize)___healthy,3.2186508178710938e-06
4291,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Tomato___Spider_mites Two-spotted_spider_mite\6591279c-cd57-411a-84b6-1cbe73b3d4ef___Com.G_SpM_FL 9612.JPG,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Septoria_leaf_spot,0.88134765625,0.11834716796875,Tomato___Septoria_leaf_spot,0.88134765625,Tomato___Spider_mites Two-spotted_spider_mite,0.11834716796875,Tomato___Early_blight,0.00015485286712646484
733,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\6c67e4a1-25ee-4c6c-bca5-effa33d24065___RS_GLSp 4680.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.72412109375,0.27587890625,Corn_(maize)___Northern_Leaf_Blight,0.72412109375,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.27587890625,Strawberry___Leaf_scorch,2.8789043426513672e-05
630,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Corn_(maize)___Northern_Leaf_Blight\29450131-41f6-4bd4-92c7-c4973ae445da___RS_NLB 3787 copy 2.jpg,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.716796875,0.282958984375,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.716796875,Corn_(maize)___Northern_Leaf_Blight,0.282958984375,Tomato___Bacterial_spot,0.0003349781036376953
429,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Corn_(maize)___Northern_Leaf_Blight\78d28bb5-2b07-42eb-aff8-d205eaf38fc9___RS_NLB 3967.JPG,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.5947265625,0.405517578125,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.5947265625,Corn_(maize)___Northern_Leaf_Blight,0.405517578125,Corn_(maize)___Common_rust_,4.220008850097656e-05
3759,C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Tomato___Septoria_leaf_spot\7bf7886a-7ec1-4f4a-92be-5d18b6450ee1___JR_Sept.L.S 8362.JPG,Tomato___Septoria_leaf_spot,Tomato___Early_blight,0.548828125,0.450439453125,Tomato___Early_blight,0.548828125,Tomato___Septoria_leaf_spot,0.450439453125,"Pepper,_bell___Bacterial_spot",0.00035071372985839844
2131,"C:\Users\cscpr\Downloads\random 2\plantvillage dataset\color\Pepper,_bell___Bacterial_spot\a73080aa-8609-4ca2-86ff-28440774f4b8___JR_B.Spot 8861.JPG","Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy",0.5048828125,0.4951171875,"Pepper,_bell___healthy",0.5048828125,"Pepper,_bell___Bacterial_spot",0.4951171875,Potato___Early_blight,9.47713851928711e-06
