,precision,recall,f1-score,support
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9493670886075949,0.974025974025974,0.9615384615384616,77.0
Potato___healthy,0.9583333333333334,1.0,0.9787234042553191,23.0
Corn_(maize)___Northern_Leaf_Blight,0.9862068965517241,0.9727891156462585,0.9794520547945206,147.0
Tomato___Spider_mites Two-spotted_spider_mite,0.996031746031746,0.996031746031746,0.996031746031746,252.0
Cherry_(including_sour)___healthy,1.0,0.9921875,0.996078431372549,128.0
Tomato___Septoria_leaf_spot,0.9962264150943396,0.9962264150943396,0.9962264150943396,265.0
"Pepper,_bell___Bacterial_spot",1.0,0.9932885906040269,0.9966329966329966,149.0
Tomato___Early_blight,0.9933774834437086,1.0,0.9966777408637874,150.0
Tomato___Target_Spot,1.0,0.9952380952380953,0.9976133651551312,210.0
"Pepper,_bell___healthy",0.9954954954954955,1.0,0.9977426636568849,221.0
Blueberry___healthy,1.0,1.0,1.0,226.0
Grape___Black_rot,1.0,1.0,1.0,177.0
Apple___healthy,1.0,1.0,1.0,246.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,179.0
Corn_(maize)___healthy,1.0,1.0,1.0,175.0
Apple___Apple_scab,1.0,1.0,1.0,95.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,826.0
Grape___healthy,1.0,1.0,1.0,64.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,162.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,208.0
Peach___Bacterial_spot,1.0,1.0,1.0,344.0
Potato___Early_blight,1.0,1.0,1.0,150.0
Potato___Late_blight,1.0,1.0,1.0,150.0
Peach___healthy,1.0,1.0,1.0,54.0
Raspberry___healthy,1.0,1.0,1.0,55.0
Soybean___healthy,1.0,1.0,1.0,763.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,167.0
Squash___Powdery_mildew,1.0,1.0,1.0,276.0
Strawberry___healthy,1.0,1.0,1.0,69.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,42.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,158.0
Apple___Black_rot,1.0,1.0,1.0,93.0
Tomato___Leaf_Mold,1.0,1.0,1.0,143.0
Tomato___Late_blight,1.0,1.0,1.0,287.0
Tomato___Bacterial_spot,1.0,1.0,1.0,319.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,803.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,56.0
Tomato___healthy,1.0,1.0,1.0,238.0
